Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells
CTTN	human	0	1.257471228	0.675	0.098	ZNF286A	human	0	1.23041466	0.663	0.049	H3F3C	human	2.55E-15	1.066005171	0.842	0	VAPA	human	0	1.233849528	0.575	0	ZNF286B	human	0	1.426756458	0.53	0	LUC7L2	chimp	0	0.765796135	0.003	0.416	ALG2	chimp	0	0.805423575	0.127	0.564	SUMO2P1	chimp	2.89E-15	0.299131912	0.588	0.575	ATP11C	chimp	0	0.90341204	0.239	0.701	BZW1	chimp	4.34E-11	0.695555524	0.524	0.923
VAPA	human	0	1.237116943	0.551	0	TUBB2A	human	0	1.201684976	0.685	0	ZNF286A	human	2.53E-14	1.524182737	0.895	0.087	CTTN	human	0	1.224422807	0.717	0.099	ZNF286A	human	0	1.426714136	0.578	0.05	OXSR1	chimp	0	0.763134397	0.221	0.619	OXSR1	chimp	0	0.790655831	0.26	0.664	ZNF839P1	chimp	7.33E-15	0.965821054	0.025	0.5	AC005944.2	chimp	0	0.892288419	0	0.607	BCAS4	chimp	5.87E-11	0.732715056	0.179	0.708
NPIPB5	human	0	1.201567909	0.685	0	SRGAP2C	human	0	1.201156705	0.743	0	GTF2IP1	human	3.11E-14	1.267234417	0.816	0	SEPW1	human	0	1.215492143	0.617	0.005	ZNF43	human	0	1.399968548	0.469	0	ALG2	chimp	0	0.746038083	0.07	0.422	SP4	chimp	0	0.782689697	0.22	0.621	RPL7P26	chimp	8.22E-15	0.397796308	0.025	0.508	AL133243.2	chimp	0	0.842624442	0.127	0.611	RP11-471M2.3	chimp	1.95E-10	0.430717662	0	0.385
ZNF43	human	0	1.182574592	0.493	0.007	RANBP2	human	0	1.191228805	0.726	0.024	RPL4P4	human	3.11E-14	1.080562684	0.816	0	LRRC75A-AS1	human	0	1.207747136	0.728	0.052	NBPF12	human	0	1.342898329	0.579	0	TRAK2	chimp	0	0.74082713	0.136	0.533	RP11-143M1.3	chimp	0	0.773019779	0	0.526	RPL5P11	chimp	1.12E-14	0.40953927	0.025	0.517	OXSR1	chimp	0	0.835070514	0.247	0.679	RP5-968D22.1	chimp	5.84E-10	1.301047085	0	0.369
NBPF12	human	0	1.174888365	0.657	0	ZNF43	human	0	1.182440272	0.631	0.037	RP11-69L16.5	human	3.11E-14	1.027943381	0.816	0	TMEM33	human	0	1.190676427	0.667	0.113	LRRC75A-AS1	human	0	1.328618173	0.457	0.012	PCMTD2	chimp	0	0.739249899	0.508	0.913	PCMTD2	chimp	0	0.767877333	0.497	0.943	LINC00115	chimp	5.88E-14	0.515867753	0.038	0.5	LINC00115	chimp	0	0.827744402	0.008	0.679	ANKRD36P1	chimp	5.84E-10	1.030734328	0	0.369
LRRC75A-AS1	human	0	1.172291183	0.656	0.046	NPIPB5	human	0	1.176239224	0.787	0	RPL34P18	human	7.95E-14	0.813249921	0.803	0.174	NPIPB5	human	0	1.18085128	0.711	0	NPIPB5	human	0	1.280270314	0.57	0	UGDH	chimp	0	0.730528167	0.201	0.628	CCDC117	chimp	0	0.750430085	0.012	0.445	RPL7P13	chimp	4.81E-13	0.304181213	0	0.408	ALG2	chimp	0	0.802713469	0.06	0.432	AC079780.3	chimp	8.19E-10	0.745611436	0.071	0.462
SEPW1	human	0	1.167606625	0.559	0.012	LRRC75A-AS1	human	0	1.16001949	0.771	0.049	ANKRD36C	human	8.30E-13	1.522542343	0.776	0	TRIM36-IT1	human	0	1.150899993	0.435	0.005	GPIHBP1	human	0	1.279940128	0.511	0	SP4	chimp	0	0.71122347	0.233	0.604	LUC7L2	chimp	0	0.740567792	0	0.441	RPS13P2	chimp	9.25E-13	0.450820851	0.625	0.858	RP11-697E2.6	chimp	0	0.780121209	0.012	0.393	CALM2P3	chimp	1.03E-09	0.693214104	0.238	0.615
SRGAP2C	human	0	1.154624425	0.577	0	EIF4EBP2	human	0	1.155910183	0.717	0.085	SRSF6	human	1.48E-12	0.407621523	0.987	0.783	ZNF91	human	0	1.150712726	0.771	0.122	C6orf62	human	0	1.229166861	0.817	0.275	ZIK1	chimp	0	0.710179461	0.101	0.429	AC005944.2	chimp	0	0.739046905	0	0.498	BRD2	chimp	1.51E-12	0.512044752	0.712	0.792	PCMTD2	chimp	0	0.744918503	0.578	0.944	RP11-395L14.3	chimp	3.27E-09	0.634665088	0.012	0.4
TRIM36-IT1	human	0	1.129388022	0.377	0.005	NBPF12	human	0	1.152338272	0.832	0	MDM2	human	5.80E-12	1.510744966	0.75	0	TBC1D24	human	0	1.150550478	0.473	0.009	ZNF91	human	0	1.227768912	0.642	0.112	CNOT6	chimp	0	0.696811522	0.307	0.664	APPBP2	chimp	0	0.713091195	0.399	0.796	LARP1	chimp	1.72E-12	0.392303152	0.525	0.875	KIAA1211	chimp	0	0.73784691	0.1	0.517	CALM2P2	chimp	4.40E-09	0.676075722	0.405	0.677
PDE4DIP	human	0	1.121883316	0.486	0	CTTN	human	0	1.148342987	0.696	0.11	ANKRD36B	human	9.18E-12	1.331568153	0.743	0	LETM1	human	0	1.150128799	0.572	0.028	EIF2S3	human	0	1.212517674	0.655	0.138	FAM184B	chimp	0	0.686069654	0.093	0.452	CTC-444N24.11	chimp	0	0.677922643	0.405	0.81	LUC7L2	chimp	2.09E-12	0.806222381	0	0.392	AGO1	chimp	0	0.734659552	0.247	0.662	HMGN2P25	chimp	5.01E-09	0.576651712	0	0.338
