Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells
B3GALT1	human	0	0.675147555	0.295	0.06	TFAP2C	human	8.88E-16	0.577583665	0.698	0.329	RP11-90H3.1	human	1.06E-05	0.577960731	0.461	0	PUS7L	human	0	0.746530382	0.402	0.042	PAN3	human	5.16E-09	0.953597086	0.501	0.188	SNORD13	chimp	0	0.377832373	0	0.348	TJP1	chimp	1.92E-08	0.295017065	0.624	0.791	QKI	chimp	2.38E-05	0.40580098	0.462	0.792	NFAT5	chimp	1.91E-10	0.453843556	0.331	0.568	TERF2	chimp	0.009068786	0.589400951	0.167	0.369
SEPT7P2	human	0	0.673773346	0.304	0	CLEC2D	human	1.44E-15	0.716406694	0.381	0	PAN3	human	1.10E-05	0.792217882	0.684	0.217	C4orf27	human	0	0.746391211	0.345	0.005	ENAH	human	6.20E-09	0.442809592	0.813	0.475	PAICS	chimp	0	0.376813156	0.489	0.779	KIAA1211	chimp	1.98E-08	0.376089078	0.098	0.336	BMPR2	chimp	2.54E-05	0.407811266	0.512	0.75	ARPP19	chimp	1.98E-10	0.38385956	0.614	0.812	EIF3I	chimp	0.009119943	0.59848607	0.369	0.569
FRG1	human	0	0.671362789	0.395	0.025	RP11-153M3.1	human	2.11E-15	0.371324905	0.378	0	GPIHBP1	human	1.34E-05	1.013597057	0.454	0	ZDHHC8P1	human	0	0.744353941	0.311	0	ZNF562	human	6.67E-09	1.001495026	0.315	0.038	SLC38A2	chimp	0	0.376262557	0.702	0.95	HSBP1L1	chimp	2.01E-08	0.352709489	0.04	0.256	ABCF1	chimp	2.65E-05	0.354012728	0.5	0.558	TMEM132B	chimp	2.66E-10	0.419312887	0.227	0.521	HPS4	chimp	0.009541564	0.628580183	0.131	0.323
SKIDA1	human	0	0.66726873	0.299	0.046	AP1G1	human	3.33E-15	0.370913087	0.741	0.293	CRIM1	human	1.34E-05	0.885794026	0.454	0	NCALD	human	0	0.741377816	0.316	0.028	NBPF25P	human	9.51E-09	0.595345041	0.278	0.012	BZW1	chimp	0	0.373444734	0.756	0.97	EXOC1	chimp	2.04E-08	0.370357441	0.329	0.645	CSNK2B	chimp	3.07E-05	0.36971894	0.462	0.575	PNRC1	chimp	3.10E-10	0.508155561	0.327	0.577	PABPC4	chimp	0.009742195	0.342599965	0.345	0.308
RP11-147L13.12	human	0	0.664257321	0.281	0.005	GTF2IRD2	human	5.77E-15	0.570888524	0.411	0.012	DYNC1I2P1	human	1.34E-05	0.858005553	0.454	0	STAG3	human	0	0.740964744	0.293	0.005	C3orf70	human	1.32E-08	1.044369409	0.278	0.012	PMS2CL	chimp	0	0.36977346	0.148	0.362	BACE1	chimp	2.35E-08	0.333721078	0.064	0.289	LYPLA1	chimp	3.08E-05	0.391468161	0.275	0.617	C3orf70	chimp	3.11E-10	0.385194288	0.291	0.581	UBE2Q2P6	human	0	1.739834943	0.869	0
ANKRD40	human	0	0.663875474	0.451	0.105	ZNF738	human	6.00E-15	0.670295541	0.617	0.146	GOLGA8B	human	1.34E-05	0.801859852	0.454	0	SLC41A2	human	0	0.740921255	0.295	0.023	MTA2	human	1.44E-08	0.487980017	0.351	0.05	LARP1	chimp	0	0.36079696	0.64	0.926	CAMK2D	chimp	2.45E-08	0.419999448	0.497	0.773	KPNA4	chimp	3.60E-05	0.480785484	0.45	0.767	HNRNPU-AS1	chimp	3.13E-10	0.435682199	0.088	0.333	NNAT	human	0	1.70724294	0.774	0.015
ZNF506	human	0	0.660565657	0.269	0.012	ZNF37BP	human	7.22E-15	0.781470336	0.367	0	SGCB	human	1.34E-05	0.570005509	0.605	0.13	ARL10	human	0	0.739358728	0.306	0.005	SENP7	human	1.48E-08	0.660038648	0.665	0.35	ZBTB8OS	chimp	0	0.360328608	0.307	0.553	MKRN2	chimp	2.73E-08	0.366380103	0.208	0.507	HIST1H1C	chimp	3.70E-05	0.504873235	0.212	0.508	SLC44A5	chimp	3.13E-10	0.456600867	0.311	0.585	SOX2-OT	human	0	1.646565927	0.964	0.2
AC004057.1	human	0	0.659779737	0.522	0.012	EEF1DP1	human	7.22E-15	0.318724436	0.367	0	ST7	human	1.36E-05	0.784722209	0.401	0.087	AC016708.2	human	0	0.738614143	0.451	0	DLX2	human	1.95E-08	0.452986523	0.745	0.512	LINC00301	chimp	0	0.359564711	0	0.312	UBE2D3P1	chimp	2.84E-08	0.363951609	0.277	0.502	CTC-444N24.11	chimp	3.86E-05	0.518037639	0.425	0.692	NDUFB8	chimp	4.33E-10	0.301139153	0.677	0.859	ZNF286A	human	0	1.592498405	0.679	0
KIAA1456	human	0	0.659716758	0.264	0.026	AFMID	human	8.22E-15	0.578462205	0.435	0.024	BTG1	human	1.49E-05	0.345278986	0.605	0.174	SEPT7P2	human	0	0.737533518	0.334	0	MYL6	human	2.34E-08	0.391422538	0.716	0.5	RPL7P26	chimp	0	0.357172023	0.036	0.514	PTGR1	chimp	2.91E-08	0.444606742	0.22	0.521	KDM1B	chimp	3.88E-05	0.488247828	0.075	0.275	PPP6R2	chimp	4.59E-10	0.369108949	0.239	0.517	ZNF286B	human	0	1.390461017	0.655	0
UBE2Q2P2	human	0	0.654428184	0.262	0.005	PDE4DIP	human	1.08E-14	0.686408033	0.364	0	HNRNPA0	human	1.61E-05	0.548087049	0.776	0.261	PCMTD1	human	0	0.733070887	0.606	0.155	ELMSAN1	human	2.46E-08	1.041101234	0.293	0.05	HMGN2P25	chimp	0	0.354708429	0	0.333	SUMO1P3	chimp	4.13E-08	0.272433848	0.243	0.526	LRP2	chimp	3.88E-05	0.602995767	0.025	0.258	SAT2	chimp	4.62E-10	0.455772385	0.347	0.62	ANKRD36B	human	0	1.367331784	0.702	0
ATP1B2	human	0	0.651327887	0.379	0.088	RGPD8	human	1.08E-14	0.514451319	0.364	0	RTN4	human	1.62E-05	0.292631754	0.908	0.565	HNRNPA0	human	0	0.732192428	0.768	0.263	MUM1	human	3.41E-08	0.757426441	0.489	0.15	GNAQ	chimp	0	0.353680037	0.568	0.752	NFAT5	chimp	4.18E-08	0.438628454	0.341	0.626	SMURF2	chimp	4.23E-05	0.444156153	0.4	0.725	NF2	chimp	5.76E-10	0.354824449	0.39	0.65	ANKRD36	human	0	1.261392892	0.917	0.231
HSPD1P1	human	0	0.651100103	0.439	0	HERC2P9	human	1.19E-14	0.687017265	0.4	0.024	NUP50	human	1.69E-05	1.102837842	0.447	0	TULP4	human	0	0.730726374	0.793	0.272	PXDN	human	3.49E-08	0.833351681	0.269	0.012	DDX39B	chimp	0	0.351968222	0.196	0.255	RP11-144G6.12	chimp	4.35E-08	0.367407498	0.075	0.318	GPM6A	chimp	5.35E-05	0.335764985	0.662	0.892	NEFM	chimp	6.47E-10	0.481595824	0.231	0.504	NBPF12	human	0	1.137268675	0.619	0
TRIM59	human	0	0.650810874	0.302	0.088	BAG4	human	1.22E-14	1.029477654	0.481	0.061	ANKRD40	human	1.69E-05	1.062499888	0.447	0	TMPO	human	0	0.726659942	0.417	0.099	SNTG1	human	3.56E-08	0.854699648	0.359	0.062	TCF3	chimp	0	0.347855704	0.312	0.625	EHMT2	chimp	4.89E-08	0.355582708	0.329	0.393	HIP1	chimp	6.30E-05	0.505032763	0.262	0.508	CYB561A3	chimp	6.83E-10	0.511740938	0.127	0.338	RPL14P1	human	0	0.984321217	0.631	0
RGPD5	human	0	0.650500389	0.488	0.021	RP11-33B1.1	human	1.30E-14	0.869264243	0.404	0.012	SCARNA22	human	1.76E-05	0.716787236	0.559	0.043	TMED4	human	0	0.724702307	0.623	0.169	TMED4	human	4.38E-08	0.823235193	0.394	0.1	RP11-677N16.1	chimp	0	0.346894239	0.039	0.351	LIMCH1	chimp	4.96E-08	0.318751245	0.578	0.782	PTGR1	chimp	6.94E-05	0.423070456	0.15	0.442	RP11-15J10.1	chimp	7.34E-10	0.430907868	0.311	0.504	RPL24P4	human	0	0.958359005	0.726	0.046
MAPKAPK5	human	0	0.649459304	0.267	0.005	EIF3CL	human	1.31E-14	0.507123958	0.362	0	PHF20	human	1.84E-05	0.3725735	0.493	0.174	HIST1H4C	human	0	0.722088358	0.847	0.249	NUP50	human	4.70E-08	0.868213294	0.294	0.038	UBXN2B	chimp	0	0.343178899	0.463	0.662	TRAK2	chimp	6.48E-08	0.499726571	0.127	0.393	RP11-153M3.1	chimp	6.98E-05	0.28700245	0.15	0.442	SLC12A6	chimp	9.14E-10	0.285177078	0.159	0.415	AC004057.1	human	0	0.835970788	0.643	0.015
TMED4	human	0	0.647863921	0.603	0.216	EEF2	human	1.62E-14	0.368786784	0.909	0.561	NASP	human	2.02E-05	0.853622135	0.77	0.261	RBM6	human	0	0.721216318	0.911	0.329	UBE2B	human	5.46E-08	0.78000141	0.515	0.238	UBE2G1	chimp	0	0.325551552	0.479	0.701	CHURC1	chimp	6.90E-08	0.388603363	0.353	0.654	LHX2	chimp	7.12E-05	0.523941535	0.238	0.558	DDX52	chimp	1.01E-09	0.41312322	0.371	0.573	SRGAP2B	human	1.11E-16	1.195796714	0.595	0
HNRNPA0	human	0	0.637565104	0.687	0.293	DCLRE1C	human	2.00E-14	0.790005901	0.542	0.098	SKIDA1	human	2.14E-05	1.070389101	0.441	0	CCDC144B	human	0	0.720327353	0.287	0	TMSB4XP4	human	6.52E-08	0.329592662	0.3	0.038	TUBB	chimp	0	0.325117283	0.945	0.956	FAM204A	chimp	8.06E-08	0.273539036	0.601	0.834	KRI1	chimp	7.57E-05	0.389973359	0.075	0.292	FAM208A	chimp	1.02E-09	0.429656159	0.49	0.714	GTF2IP1	human	1.11E-16	1.016899909	0.655	0.015
SLX4IP	human	0	0.635491905	0.285	0.072	TIAL1	human	2.07E-14	0.623365428	0.823	0.415	NBPF11	human	2.14E-05	0.765261104	0.441	0	HIGD1A	human	0	0.719292965	0.289	0.014	EIF4EBP2	human	7.18E-08	0.785752254	0.442	0.15	UBR5	chimp	0	0.324888575	0.545	0.752	HN1	chimp	8.49E-08	0.341816642	0.578	0.81	CNTN1	chimp	7.86E-05	0.500613392	0.05	0.258	WDR36	chimp	1.28E-09	0.442310718	0.414	0.692	RPL34P18	human	2.22E-16	0.766384316	0.679	0.062
CACUL1	human	0	0.632788144	0.474	0.204	TMEM33	human	2.18E-14	0.798674119	0.692	0.354	HNRNPA1P41	human	2.14E-05	0.406166338	0.441	0	PDE1A	human	0	0.718222473	0.339	0.07	RPS3A	human	8.30E-08	0.286503556	0.918	0.762	RP4-775C13.1	chimp	0	0.318061159	0.081	0.312	RSL24D1	chimp	9.41E-08	0.310346574	0.509	0.782	COA3	chimp	8.52E-05	0.339563768	0.4	0.6	RNF5	chimp	1.66E-09	0.352187216	0.315	0.423	HNRNPCP2	human	4.44E-16	1.011374181	0.583	0
GABPB1-AS1	human	0	0.632658745	0.45	0.121	ZNF562	human	2.24E-14	0.879119364	0.446	0.049	KIF5C	human	2.18E-05	0.648339531	0.711	0.391	NUTM2A-AS1	human	0	0.717589548	0.339	0	TAGLN3	human	8.49E-08	0.718702423	0.509	0.175	PPP6R2	chimp	0	0.316083373	0.228	0.467	RCC1	chimp	9.48E-08	0.274254038	0.069	0.28	PILRB	chimp	9.17E-05	0.328170433	0.062	0.283	BCL11B	chimp	1.99E-09	0.309635968	0.805	0.919	TSPYL1	human	1.22E-15	1.124134057	0.738	0.262
AC026271.5	human	0	0.62911927	0.274	0.004	ZNF587	human	2.90E-14	0.699865023	0.355	0	UQCRB	human	2.25E-05	0.378972237	0.711	0.261	SCD	human	0	0.716221483	0.615	0.192	FRG1	human	9.23E-08	0.593551112	0.258	0.025	FAM204A	chimp	0	0.314099796	0.532	0.814	RRAGD	chimp	9.59E-08	0.395962197	0.451	0.664	CXXC5	chimp	9.31E-05	0.489512788	0.175	0.45	UBXN2B	chimp	2.26E-09	0.388613837	0.514	0.722	RP11-543P15.1	human	1.55E-14	0.711198972	0.833	0.215
ADD2	human	0	0.62802549	0.543	0.246	BROX	human	3.10E-14	0.811300636	0.689	0.293	KIDINS220	human	2.27E-05	0.696001064	0.849	0.391	KIAA1715	human	0	0.715566092	0.429	0.099	ZNF714	human	1.11E-07	0.509619828	0.29	0.062	UBE2D3P1	chimp	0	0.309137627	0.209	0.384	KC6	chimp	1.19E-07	0.441778675	0.214	0.502	SEMA3A	chimp	9.54E-05	0.418051641	0.175	0.383	TENM4	chimp	2.61E-09	0.506886503	0.363	0.56	NONO	human	2.02E-14	1.405286728	0.667	0.077
EFR3B	human	0	0.626653508	0.469	0.158	LINC00674	human	3.53E-14	0.612939291	0.353	0	SENP5	human	2.32E-05	0.659355946	0.553	0.13	ARHGEF10	human	0	0.715334885	0.318	0.009	GAN	human	1.43E-07	0.961412797	0.29	0.038	CALM2P2	chimp	0	0.302284649	0.542	0.713	C6orf48	chimp	1.42E-07	0.348272043	0.514	0.635	ZBTB44	chimp	0.00010895	0.326437035	0.4	0.692	DDR1	chimp	2.70E-09	0.418251117	0.283	0.363	SRGAP2C	human	6.18E-14	1.060062103	0.524	0
ASNS	human	0	0.626411582	0.36	0.098	DYNC1I2P1	human	3.86E-14	0.56994546	0.397	0.012	LINC01102	human	2.67E-05	1.064954755	0.539	0.043	VPS53	human	0	0.711193969	0.42	0.052	SFXN1	human	1.58E-07	0.805115551	0.301	0.038	RCC1	chimp	0	0.299752643	0.067	0.257	CH17-258A22.4	chimp	1.60E-07	0.309396748	0.058	0.265	ANKRD11	chimp	0.00010947	0.348821028	0.638	0.833	TMEM14C	chimp	3.31E-09	0.367799975	0.259	0.538	CHCHD3	human	4.86E-13	1.085461248	0.631	0.062
SNTG1	human	0	0.623959215	0.268	0.03	PON2	human	4.33E-14	0.571176449	0.797	0.476	AC016708.2	human	2.69E-05	0.772562908	0.434	0	CCDC93	human	0	0.708855222	0.359	0.042	RP11-384F7.2	human	1.60E-07	0.85113911	0.269	0.025	NDUFB8	chimp	0	0.297025617	0.643	0.847	CRYZ	chimp	1.61E-07	0.367518132	0.168	0.427	TJP1	chimp	0.000118605	0.34342014	0.375	0.633	ABCF1	chimp	3.97E-09	0.430944165	0.442	0.577	NPIPB5	human	6.28E-13	1.062986349	0.619	0.062
NBPF9	human	0	0.622180763	0.376	0	SEPT7P2	human	5.24E-14	0.612274416	0.35	0	ITCH	human	2.69E-05	0.698628093	0.533	0.087	NSUN6	human	0	0.707987474	0.488	0.052	SMARCC2	human	1.60E-07	0.550036628	0.353	0.088	RP11-447H19.1	chimp	0	0.289470702	0.012	0.378	PIAS2	chimp	1.66E-07	0.320616993	0.59	0.806	ELF2	chimp	0.000118647	0.283540966	0.5	0.617	TCF3	chimp	4.34E-09	0.3369901	0.235	0.509	CBWD5	human	7.87E-13	1.141378156	0.583	0.031
RNF216P1	human	0	0.622120308	0.361	0.023	SETD8	human	5.24E-14	0.555569512	0.35	0	OGT	human	2.72E-05	0.630440871	0.651	0.391	EPS8	human	0	0.705644275	0.458	0.117	CXADR	human	1.80E-07	0.690471405	0.582	0.288	RP11-262M14.2	chimp	0	0.288545824	0.014	0.339	MPP5	chimp	1.88E-07	0.329184509	0.335	0.626	RRAGD	chimp	0.000120088	0.623314633	0.138	0.408	EXOSC3	chimp	5.52E-09	0.545675308	0.211	0.444	DYNC1I2P1	human	1.00E-12	0.96500016	0.488	0
VPS53	human	0	0.619371419	0.348	0.056	SMN1	human	5.24E-14	0.442124638	0.35	0	SH3GL1	human	3.01E-05	0.41797454	0.329	0.087	HYDIN2	human	0	0.705215391	0.28	0	RPS10	human	2.19E-07	0.357247724	0.266	0.062	NF2	chimp	0	0.285471698	0.383	0.599	DSTNP1	chimp	1.92E-07	0.318420002	0.064	0.284	RMND5A	chimp	0.000129567	0.386327283	0.425	0.717	ZNF667-AS1	chimp	6.15E-09	0.498953885	0.124	0.368	RPL21	human	2.17E-12	0.507802283	0.929	0.831
STAT2	human	0	0.614471546	0.427	0.156	NUTM2A-AS1	human	6.37E-14	0.59301697	0.348	0	KIAA1456	human	3.37E-05	0.986407768	0.428	0	FRG1	human	0	0.700033602	0.425	0.014	TMPO	human	2.41E-07	0.879883786	0.375	0.088	DDX3Y	chimp	0	0.284485731	0.3	0.529	SLC35E2	chimp	2.14E-07	0.377004821	0.069	0.294	PPP6R2	chimp	0.00014001	0.384678817	0.175	0.475	RIT1	chimp	6.70E-09	0.479345753	0.235	0.513	CBWD7	human	2.46E-12	0.89909695	0.476	0
STRN3	human	0	0.612161899	0.711	0.325	SUZ12P1	human	6.83E-14	0.727965244	0.442	0.037	NSUN6	human	3.37E-05	0.913287267	0.428	0	CACUL1	human	0	0.698961614	0.489	0.15	ZNF397	human	2.77E-07	0.626798383	0.374	0.088	RPL7P13	chimp	0	0.28232726	0.005	0.417	VPS4A	chimp	2.23E-07	0.462637102	0.208	0.464	PFAS	chimp	0.000140256	0.528380909	0.15	0.417	PPIP5K2	chimp	7.41E-09	0.265626272	0.693	0.868	NBPF1	human	2.84E-12	1.139897983	0.536	0.015
CCDC144B	human	0	0.610678721	0.252	0	CNTNAP3B	human	7.75E-14	0.559721218	0.346	0	PPP2R5E	human	3.60E-05	0.581924754	0.704	0.217	ZNF397	human	0	0.69665172	0.474	0.075	EEF2	human	3.10E-07	0.523450884	0.63	0.312	AC011933.2	chimp	0	0.281736885	0.065	0.41	KPNA4	chimp	2.32E-07	0.338576178	0.451	0.739	PAICS	chimp	0.000141501	0.45278814	0.412	0.717	YPEL5	chimp	7.45E-09	0.418477134	0.474	0.726	CBWD1	human	2.87E-11	1.010593698	0.488	0.015
RPS13P2	human	0	0.609471276	0.541	0	RP11-1018J11.1	human	7.75E-14	0.274383909	0.346	0	DCAKD	human	3.63E-05	0.580061866	0.5	0.043	MAPKAPK5	human	0	0.694972316	0.312	0.005	MDM2	human	3.22E-07	0.689122944	0.449	0.138	RN7SL629P	chimp	0	0.276149856	0.034	0.341	SPINT2	chimp	3.01E-07	0.361092345	0.098	0.322	HECTD1	chimp	0.000145868	0.260007131	0.488	0.633	SEMA3C	chimp	7.96E-09	0.433742228	0.335	0.603	NBPF11	human	3.36E-11	0.776739071	0.44	0
CROCCP2	human	0	0.607914117	0.275	0	TMPO	human	8.48E-14	0.78715091	0.661	0.232	DDX3X	human	3.70E-05	0.292931334	0.809	0.391	RP11-452L6.1	human	0	0.69134069	0.3	0.009	CSNK1E	human	3.70E-07	0.444502973	0.645	0.525	SEC22B	chimp	0	0.276024061	0.671	0.872	YPEL5	chimp	3.31E-07	0.416828151	0.41	0.692	RP11-312J18.5	chimp	0.000160723	0.495102433	0.112	0.367	DDAH2	chimp	8.03E-09	0.384529766	0.303	0.359	NBPF14	human	3.36E-11	0.659351477	0.44	0
RP3-368A4.5	human	0	0.605275969	0.333	0.097	RGPD6	human	9.41E-14	0.415251265	0.344	0	GPRC5B	human	3.74E-05	0.605155025	0.257	0.13	GPI	human	0	0.690946009	0.701	0.263	RAD52	human	4.05E-07	0.894948624	0.27	0.062	SUMO2P1	chimp	0	0.2738006	0.563	0.535	ZBTB44	chimp	3.47E-07	0.417189914	0.382	0.63	RP11-701H24.3	chimp	0.000165297	0.439055323	0.088	0.35	11-Sep	chimp	8.07E-09	0.262590321	0.745	0.893	PDE4DIP	human	7.82E-11	1.006306977	0.429	0
SAMD8	human	0	0.604359878	0.395	0.13	RP11-488L18.10	human	1.01E-13	0.879365438	0.453	0.073	GPBP1	human	4.00E-05	0.408743508	0.783	0.391	AC005154.6	human	0	0.689178671	0.284	0	HNRNPA0	human	4.26E-07	0.670715028	0.542	0.238	RP11-471M2.3	chimp	0	0.272996386	0	0.336	TGDS	chimp	3.56E-07	0.353793817	0.139	0.379	TSR2	chimp	0.000188248	0.391437767	0.088	0.325	FAM126A	chimp	9.03E-09	0.309503678	0.645	0.85	SMAD9	human	2.14E-10	1.070633547	0.476	0.031
OFD1	human	0	0.603835396	0.394	0.109	TOB1	human	1.02E-13	0.310917242	0.865	0.573	AC253572.1	human	4.22E-05	0.69299498	0.421	0	EIF4EP2	human	0	0.688647985	0.33	0	EIF4B	human	6.05E-07	0.691782427	0.425	0.125	C6orf48	chimp	0	0.272036674	0.434	0.502	ZNF445	chimp	3.93E-07	0.411316546	0.318	0.559	NUDCD2	chimp	0.000190519	0.356976305	0.312	0.417	CUL5	chimp	1.01E-08	0.296071076	0.486	0.615	CTNNA1	human	4.26E-10	0.766097022	0.429	0.031
HIST1H4C	human	0	0.602458199	0.798	0.353	EIF3FP3	human	1.14E-13	0.540852773	0.343	0	RPL5P23	human	4.22E-05	0.500596518	0.421	0	ASNS	human	0	0.687018107	0.51	0.15	CCT6A	human	6.21E-07	0.4338451	0.378	0.15	TRIM52	chimp	0	0.267564061	0.094	0.306	AARS	chimp	4.63E-07	0.309819529	0.289	0.555	CCDC136	chimp	0.000193645	0.490127134	0.125	0.392	USO1	chimp	1.08E-08	0.48282407	0.271	0.534	SLC35F1	human	1.09E-09	1.277949638	0.452	0.015
FKBP9	human	0	0.601997189	0.254	0.023	OFD1	human	1.42E-13	0.779625606	0.516	0.085	PHACTR1	human	4.27E-05	0.718614308	0.724	0.261	VPS35	human	0	0.681638237	0.657	0.15	SBNO1	human	6.77E-07	0.562498978	0.614	0.375	HSBP1L1	chimp	0	0.264788019	0.072	0.276	LSM12	chimp	4.80E-07	0.276325945	0.78	0.938	EHMT2	chimp	0.000196732	0.45487264	0.212	0.442	CTA-360L10.1	chimp	1.08E-08	0.386394159	0.231	0.466	GPIHBP1	human	4.50E-09	0.986601543	0.369	0
ZNF397	human	0	0.601853854	0.445	0.105	NEDD4L	human	1.68E-13	0.575315807	0.804	0.415	VPS35	human	4.36E-05	0.727864278	0.618	0.13	TPT1-AS1	human	0	0.680994617	0.333	0.005	ZNF738	human	7.54E-07	0.727198629	0.399	0.138	MRPS21	chimp	0	0.263931084	0.585	0.811	GNAQ	chimp	5.24E-07	0.385074413	0.399	0.649	MIR181A2HG	chimp	0.000212192	0.394319885	0.075	0.325	DLG2	chimp	1.30E-08	0.439734052	0.41	0.675	LRRC37A2	human	4.50E-09	0.781575469	0.369	0
GOLGA3	human	0	0.599015658	0.252	0.037	TPT1-AS1	human	1.69E-13	0.573421645	0.339	0	TRIM33	human	4.84E-05	0.366634658	0.717	0.261	AC004057.1	human	0	0.679105077	0.558	0.014	STRN3	human	7.68E-07	0.561015729	0.552	0.288	RP11-283C24.1	chimp	0	0.263548908	0.012	0.291	PPP6R2	chimp	5.88E-07	0.309083755	0.26	0.54	LMTK2	chimp	0.000216449	0.508354762	0.125	0.367	ZNF667	chimp	1.69E-08	0.44868471	0.084	0.295	INSR	human	9.14E-09	0.828002913	0.762	0.262
ST6GAL2	human	0	0.597408222	0.371	0.163	PRPF39	human	1.87E-13	0.707392718	0.684	0.244	ADNP	human	4.86E-05	0.478240186	0.816	0.348	ACADM	human	0	0.677436813	0.336	0.042	TOR1AIP2	human	8.46E-07	0.608120051	0.503	0.2	RP11-516A11.1	chimp	0	0.260762668	0.108	0.375	POLR2C	chimp	5.96E-07	0.448540576	0.22	0.488	DDR1	chimp	0.000245374	0.254611119	0.55	0.575	SEC22B	chimp	1.72E-08	0.267921497	0.637	0.872	CASP2	human	1.31E-08	1.100880259	0.607	0.123
TPT1-AS1	human	0	0.59573121	0.284	0.007	TMED4	human	1.98E-13	0.560114458	0.783	0.366	NHSL1	human	4.97E-05	0.475024257	0.789	0.348	ZNF254	human	0	0.676535545	0.292	0.009	BCL11B	human	1.43E-06	0.324429069	0.86	0.612	LIX1L	chimp	1.11E-16	0.428397055	0.228	0.443	KDM6B	chimp	6.07E-07	0.309229505	0.266	0.517	ATP9B	chimp	0.000246157	0.325236647	0.125	0.258	EXOC1	chimp	1.76E-08	0.332089656	0.462	0.726	HERC2P2	human	2.10E-08	0.718392629	0.345	0
RBBP4P1	human	0	0.589134553	0.345	0	TLE3	human	2.01E-13	0.616597552	0.701	0.28	SKIV2L2	human	5.03E-05	0.431136883	0.447	0.087	ATP1B2	human	0	0.676219707	0.382	0.042	N4BP2L2	human	1.47E-06	0.52210636	0.548	0.238	FAT1	chimp	1.11E-16	0.394776615	0.242	0.468	SPAST	chimp	6.37E-07	0.461044778	0.249	0.517	AMFR	chimp	0.000254214	0.388478742	0.375	0.633	CTC-429P9.3	chimp	1.77E-08	0.49391025	0.12	0.325	SRP9P1	human	2.10E-08	0.48958903	0.345	0
GDAP1	human	0	0.588054552	0.489	0.195	FRG1	human	2.03E-13	0.584116323	0.455	0.049	HDAC9	human	5.11E-05	0.762700838	0.599	0.13	PTPN2	human	0	0.675601248	0.323	0.047	FAM117B	human	2.20E-06	0.939413051	0.355	0.112	CHURC1	chimp	1.11E-16	0.364405624	0.281	0.518	HNRNPA0	chimp	6.53E-07	0.362713024	0.578	0.82	SLC35E2	chimp	0.000264384	0.487406867	0.075	0.308	KIF2A	chimp	1.95E-08	0.339518569	0.47	0.739	RP11-69L16.5	human	3.00E-08	0.623488003	0.655	0.231
SETD8	human	0	0.58742685	0.292	0	GPR75-ASB3	human	2.04E-13	0.593230182	0.337	0	CLVS1	human	5.16E-05	0.457419839	0.382	0.087	BMS1P1	human	0	0.673052413	0.317	0	IRF2BPL	human	2.28E-06	0.359175163	0.559	0.262	CLPX	chimp	1.11E-16	0.289951396	0.314	0.557	TERF2	chimp	7.67E-07	0.483196103	0.283	0.555	ATP6V0A1	chimp	0.000276778	0.26441001	0.388	0.575	ENSA	chimp	2.37E-08	0.453676139	0.355	0.53	LINC00969	human	3.09E-08	0.973073224	0.5	0.062
CCT6A	human	0	0.585741644	0.579	0.197	BNIP3	human	3.00E-13	0.786667383	0.334	0	SLC29A4	human	5.26E-05	0.982095728	0.414	0	PIP4K2A	human	0	0.666902331	0.367	0.061	RP11-524C21.2	human	2.47E-06	0.858506077	0.309	0.075	POLR2D	chimp	3.33E-16	0.410183295	0.302	0.518	AC093838.4	chimp	8.74E-07	0.298379092	0.139	0.384	FAT3	chimp	0.000286586	0.475923483	0.088	0.342	FRMD3	chimp	2.49E-08	0.44305381	0.108	0.333	RPL5P23	human	4.28E-08	0.358866046	0.345	0.031
SCD	human	0	0.583816078	0.555	0.251	EIF3C	human	3.89E-13	0.56736263	0.374	0.012	LINC00969	human	5.26E-05	0.939258632	0.414	0	FMNL2	human	0	0.666497069	0.728	0.291	ZNF431	human	2.99E-06	0.750459487	0.29	0.05	POLR2J4	chimp	3.33E-16	0.311390589	0.096	0.255	DIABLO	chimp	9.97E-07	0.365934587	0.197	0.46	SATB1	chimp	0.000292959	0.310799317	0.488	0.733	SATB1	chimp	2.73E-08	0.418991954	0.303	0.543	CEP170P1	human	4.48E-08	0.526209832	0.333	0
